Subject,Unit,Topic,Content,Learning_Objectives
BAS101,U1,Quantum Mechanics,"Inadequacy of classical mechanics, Planck’s theory of black body radiation(qualitative), Compton effect, de-Broglie concept of matter waves, Davisson and Germer Experiment, Phase velocity and group velocity, Time-dependent and time-independent Schrodinger wave equations, Physical interpretation of wave function, Particle in a one-Dimensional box.",To explain the distribution of energy in black body radiation and to understand the difference in particle and wave nature with explanation of Compton effect and Schrodinger wave equation.
BAS101,U2,Electromagnetic Field Theory,"Basic concept of Stoke’s theorem and Divergence theorem, Basic laws of electricity and magnetism, Continuity equation for current density, Displacement current, Maxwell equations in integral and differential form, Maxwell equations in vacuum and in conducting medium, Poynting vector and Poynting theorem, Plane electromagnetic waves in vacuum and their transverse nature. Relation between electric and magnetic fields of an electromagnetic wave, Plane electromagnetic waves in conducting medium, Skin depth.",To understand the concept of displacement current and consistency of Ampere’s law and also the properties of electromagnetic waves in different medium with the use of Maxwell’s equations.
BAS101,U3,Wave Optics,"Coherent sources, Interference in uniform and wedge shaped thin films, Necessity of extended sources, Newton’s Rings and its applications, Introduction to diffraction, Fraunhoffer diffraction at single slit and double slit, Absent spectra, Diffraction grating, Spectra with grating, Dispersive power, Resolving power, Rayleigh’s criterion of resolution, Resolving power of grating.",To understand the behavior of waves through various examples/applications of interference and diffraction phenomenon and the concept of grating and resolving power.
BAS101,U4,"Fiber Optics & Laser, Fiber Optics, Laser","Fibre Optics: Principle and construction of optical fiber, Acceptance angle, Numerical aperture, Acceptance cone, Step index and graded index fibers, Fiber optic communication principle, Attenuation, Dispersion, Application of fiber. Laser: Absorption of radiation, Spontaneous and stimulated emission of radiation, Population inversion, Einstein’s Coefficients, Principles of laser action, Solid state Laser (Ruby laser) and Gas Laser (He-Ne laser), Laser applications","To know the functioning of optical fiber and its properties and applications. To understand the concept, properties and applications of Laser"
BAS101,U5,Superconductors and Nano-Materials:,"Superconductors: Temperature dependence of resistivity in superconducting materials, Meissner effect, Temperature dependence of critical field, Persistent current, Type I and Type II superconductors, High temperature superconductors, Properties and Applications of Super-conductors. Nano-Materials: Introduction and properties of nano materials, Basics concept of Quantum Dots, Quantum wires and Quantum well, Fabrication of nano materials -TopDown approach (CVD) and Bottom-Up approach (Sol Gel), Properties and Application of nano materials.",To know the properties and applications of superconducting materials and nano materials.
BAS102,U1,"Atomic and Molecular Structure , ","Atomic and Molecular Structure: Molecular orbital’s of diatomic molecules, Bond Order, Magnetic characters and numerical problems. Chemistry of Advanced Materials: Liquid Crystals; Introduction, Types and Applications of liquid crystals, Industrially important materials used as liquid crystals. Graphite and Fullerene; Introduction, Structure and applications. Nanomaterials; Introduction, Preparation, characteristics of nanomaterials and applications of nanomaterials, Carbon Nano Tubes (CNT), Green Chemistry: Introduction, 12 principles and importance of green Synthesis, Green Chemicals, Synthesis of typical organic compounds by conventional and Green route (Adipic acid and Paracetamol), Environmental impact of Green chemistry on society.","Get an understanding of the theoretical principles of chemistry of molecular structure, bonding and properties, Chemistry of advanced materials (liquid crystals, Nanomaterials, Graphite & Fullerene) as well as the Principles of Green Chemistry."
BAS102,U2,Spectroscopic Techniques and Applications,"Spectroscopic Techniques and Applications: Elementary idea and simple applications of UV, IR and NMR, Numerical problems. Stereochemistry: Optical isomerism in compounds without chiral carbon, Geometrical isomerism, Chiral Drugs.",Apply the fundamental concepts of determination of structure with various spectral techniques and stereochemistry.
BAS102,U3,Electrochemistry and Batteries,"Electrochemistry and Batteries: Basic concepts of electrochemistry. Batteries; Classification and applications of Primary Cells (Dry Cell) and Secondary Cells (Lead Acid battery). Corrosion: Introduction to corrosion, Types of corrosion, Cause of corrosion, Corrosion prevention and control, Corrosion issues in specific industries (Power generation, Chemical processing industry, Oil & gas industry and Pulp & paper industries). Chemistry of Engineering Materials: Cement; Constituents, manufacturing, hardening and setting, deterioration of cement, Plaster of Paris (POP).","Utilize the theory of construction of electrodes, batteries and fuel cells in redesigning new engineering products and categorize the reasons for corrosion and study methods to control corrosion and develop understanding of Chemistry of Engineering materials (Cement)."
BAS102,U4,Water Technology,"Water Technology: Sources and impurities of water, Hardness of water, Boiler troubles, Techniques for water softening (Lime-Soda, Zeolite, Ion Exchange and Reverse Osmosis process), Determination of Hardness and alkalinity, Numerical problems. Fuels and Combustion: Definition, Classification, Characteristics of a good fuel, Calorific Values, Gross & Net calorific value, Determination of calorific value by Bomb Calorimeter, Theoretical calculation of calorific value by Dulong’s method, Ranking of Coal, Analysis of coal by Proximate and Ultimate analysis method, Numerical problems, Chemistry of Biogas production from organic waste materials and their environmental impact on society","Develop understanding of the sources, impurities and hardness of water, apply the concepts of determination of calorific values and analyze the coal."
BAS102,U5,Materials Chemistry,"Polymers; Classification, Polymerization processes, Thermosetting and Thermoplastic Polymers, Polymer Blends and Composites, Conducting and Biodegradable polymers, Preparation, properties, industrial applications of Teflon, Lucite, Bakelite, Kelvar, Dacron, Thiokol, Nylon, Buna-N and Buna-S and their environmental impact on society, Speciality polymers. Organometallic Compounds: General methods of preparation and applications of Organometallic compounds (RMgX and LiAlH4).",Develop the understanding of Chemical structure of polymers and its effect on their various properties when used as engineering materials. Understanding the applications of specific polymers and Chemistry applicable in industrial process.
